MEASURE ID,MEASURE_DESCRIPTION,MEASURE_TYPE
NO_OAC_12M,Patients with no oral anti-coagulant in the 12 months on or after the quality service start date and including the achievement date,Exclusion
NONSAID3M,Patients who have not been prescribed an oral non-steroidal anti-Inflammatory drug (NSAID) in the 3 months up to and including the achievement date.,Exclusion
PEPULCB3M,Patients who have not had a upper gastrointestinal (GI) bleed code or a peptic ulceration code recorded at least 3 months before the achievement date.,Exclusion
NOANTIPLT,Patients who have not been prescribed an antiplatelet in the 3 months up to and including the achievement date.,Exclusion
ANTICOAG3M,Patients who have not had an oral anticoagulant prescription code recorded in the 3 months up to and including the achievement date.,Exclusion
NOCOAGPLAT,Patients who have not been prescribed an oral anticoagulant and an antiplatelet (including aspirin) within 28 days of each other in the 3 months up to and including the achievement date.,Exclusion
ASPIRIN3M,Patients who have not had an aspirin prescription code recorded in the 3 months up to and including the achievement date.,Exclusion
NOASPLAT3M,Patients who have not been prescribed an aspirin and another antiplatelet within 28 days of each other in the 3 months up to and including the achievement date.,Exclusion
HFB3M_DAT,Patients who have not had a heart failure diagnosis code recorded at least 3 months before the achievement date.,Exclusion
HFRESLAT,Patients who have a heart failure resolve code recorded up to and including the achievement date and the heart failure resolve code is on or after their latest heart failure code recorded at least 3 months before the achievement date.,Exclusion
EGFRB3ML45,Patients who have not had an estimated glomerular filtration rate (eGFR) of less than 45ml per minute as their latest eGFR recorded at least 3 months before the achievement date.,Exclusion
ASTB3M_DAT,Patients who have not had an asthma diagnosis code recorded at least 3 months before the achievement date.,Exclusion
ASTRESLAT,Patients who have an asthma resolve code recorded up to and including the achievement date and the asthma resolve code is after their latest asthma code recorded at least 3 months before the achievement date.,Exclusion
PAT_AGEU75,Patient age is less than 75 years at the quality service end date.,Exclusion
NOACELOOP,Patient not on long-term prescription for either angiotensin converting enzyme (ACE) inhibitor or loop diuretic medication,Exclusion
NOMETH3M6M,Patient has no methotrexate prescription in either the 3-6 months prior to the achievement date and/or no methotrexate prescription in the 3 months up to and including the achievement date,Exclusion
NOLIT3M6M,Patient has no lithium prescription in either the 3-6 months prior to the achievement date and/or no lithium prescription in the 3 months up to and including the achievement date,Exclusion
NOAMIO12M,Patient has no amiodarone prescription in either the 6-12 months prior to the achievement date and/or no amiodarone prescription in the 6 months up to and including the achievement date,Exclusion
PAT_AGEU14,Patient age is less than 14 years at the quality service end date.,Exclusion
LD_DAT,Patient does not have a diagnosis of learning disabilities up to and including the achievement date.,Exclusion
HLTHCHKDEC,Patient chose not to receive a learning disability health check in the 12 months leading up to and including the PPED,PCA
HLTHAPDEC,Patient chose not to receive a learning disability health action plan in the 12 months leading up to and including the payment period end date.,PCA
P_AGE18_64,Patient age is less than 18 years or greater than 65 years at the quality service end date.,Exclusion
N_AT_RISK,"Patient does not have at least one of the following conditions in their record: CRD, Unresolved Asthma, CHD, CKD, Diabetes, unresolved perstisting immunosuppression diagnosis, expiring immunosuppression diagnosis, immunosuppressive procedure, immunosuppressive drug treatment, CLD, CND, High BMI aged 16 years or over, BMI value of 40 or more, LD, splenic dysfunction or care home residency.",Exclusion
PAT_ETHWNS,Patient from white ethnic grouping or has no ethnicity stated,Exclusion
XFLU_DAT,Persisting Flu vaccine contraindications recorded up to and including the achievement date.,PCA
FLUEXPCON,Patient has flu vaccine expiring contraindication recorded on or after the service start date and up to and including the achievement date.,PCA
FLUDEC_DAT,Patient either did not receive a flu vaccination or did not consent to a flu vaccination in the 12 months leading up to and including the payment period end date.,PCA
FLUINVITE1,"Patient has not responded to at least two flu vaccination invitations using their preferred method of communication, made at least 7 days apart, in the flu season.",PCA
PAT_AGEU16,Patient age is less than 16 years at the quality service end date,Exclusion
C19CON_DAT,Patients who have a persisting COVID-19 vaccination contraindication,PCA
C19DEC_DAT,Patients who chose not to receive a COVID-19 vaccination in the 12 months up to and including the payment period end date,PCA
PAT_AGEU45,Patient age is under 45 years,Exclusion
BPDEC1,Patient chose not to have their blood pressure recorded in the 5 years leading up to and including the payment period end date,PCA
REGL3M_DAT,Patients registered within 3 months of end of payment period,PCA
MH_MHREM,"Patient does not have an unresolved diagnosis of psychosis, schizophrenia or bipolar affective disorder.",Exclusion
SMOKORDEC,Patient has a smoking status or declined to provide their smoking status,PCA
P_AGE2_4,Patient age is less than 2 years or greater than 4 years the day before the flu service started (31 August),Exclusion
CARHOME_18,"Patient is less than 18 years of age at the quality service end date, and doesn't have the code indicating care home residency. ",Exclusion
NATRISKU18,"Patient is less than 65 years at the quality service end date OR patient is less than 18 years or greater than 65 years at the quality service end date AND does not have at least one of the following conditions: CRD, Unresolved Asthma, CHD, CKD, Diabetes, unresolved perstisting immunosuppression diagnosis, expiring immunosuppression diagnosis, immunosuppressive procedure, immunosuppressive drug treatment, CLD, CND, High BMI aged 16 years or over, BMI value of 40 or more, LD, splenic dysfunction or care home residency. ",Exclusion
