AID,SERVICE_YEAR,QUALITY_SERVICE,Service,INDICATOR_ID,Ruleset,Care domain (CQRS short domain name),DPO_FLG,INDICATOR_TYPE,INDICATOR_ID,INDICATOR_DESCRIPTION,MEASURE_TYPE,MEASURE,MEASURE_DESCRIPTION,DPO,DPO_DESCRIPTION,DPO_BREAKDOWN,CQRS short code
tbc,2023-24,NCD,NCD,NCD120,Tackling Health Inequalities,NCD,0,FI,NCD120,"Percentage of patients on the QOF Learning Disability register aged 14 or over, who received an annual Learning Disability Health Check and have a completed Health Action Plan, in addition to a recording of ethnicity.",Denominator,Denominator,Denominator,n/a,n/a,n/a,n/a
tbc,2023-24,NCD,NCD,NCD121,Cardiovascular Disease Prevention,NCD,0,FI,NCD121,"Percentage of patients aged 25 to 84 years inclusive without established cardiovascular disease or diabetes and with a last recorded CVD risk score (QRISK2 or 3) greater than 20 percent, who are currently treated with statins, or where a statin is declined or clinically unsuitable, another lipid-lowering therapy.",Exclusion,DIABUNRES,DIABUNRES,n/a,n/a,n/a,DIABUNRES
tbc,2023-24,NCD,NCD,NCD121,Cardiovascular Disease Prevention,NCD,0,FI,NCD121,"Percentage of patients aged 25 to 84 years inclusive without established cardiovascular disease or diabetes and with a last recorded CVD risk score (QRISK2 or 3) greater than 20 percent, who are currently treated with statins, or where a statin is declined or clinically unsuitable, another lipid-lowering therapy.",Exclusion,P_AGE25_84,P_AGE25_84,n/a,n/a,n/a,P_AGE25_84
tbc,2023-24,NCD,NCD,NCDMI010,Enhanced Health in Care Homes,NCD,0,FI,NCDMI010,"Percentage of permanent care home residents aged 18 years or over, and recorded as experiencing acute confusion, who received a delirium assessment.",PCA,CARHOMDEC1,CARHOMDEC1,n/a,n/a,n/a,CARHOMDEC1
tbc,2023-24,NCD,NCD,NCDMI027,Vaccination & Immunisation,NCD,0,FI,NCDMI027,"Percentage of patients on the QOF Mental Health register for schizophrenia, bipolar affective disorder and other psychoses and either aged 65 years or over, or aged between 18 and 64 years inclusive and in a clinical at-risk group, who received a seasonal influenza vaccination between 1 September and 31 March.",PCA,FLUINVITE1,FLUINVITE1,n/a,n/a,n/a,FLUINVITE1
tbc,2023-24,NCD,NCD,NCDMI027,Vaccination & Immunisation,NCD,0,FI,NCDMI027,"Percentage of patients on the QOF Mental Health register for schizophrenia, bipolar affective disorder and other psychoses and either aged 65 years or over, or aged between 18 and 64 years inclusive and in a clinical at-risk group, who received a seasonal influenza vaccination between 1 September and 31 March.",Numerator,Numerator,Numerator,n/a,n/a,n/a,n/a
tbc,2023-24,NCD,NCD,NCDMI061,Cardiovascular Disease Prevention,NCD,0,FI,NCDMI061,"Percentage of patients aged 25 to 84 years inclusive and with a last recorded CVD risk score (QRISK2 or 3) greater than or equal to 10 percent, who are currently treated with statins.",Exclusion,CVDPAL_DAT,CVDPAL_DAT,n/a,n/a,n/a,CVDPAL_DAT
tbc,2023-24,NCD,NCD,NCDMI101,Cardiovascular Disease Prevention,NCD,0,FI,NCDMI101,"Percentage of patients aged 65 years or over and who received a blood pressure check, who received a pulse check",Exclusion,UNRESAFIB,UNRESAFIB,n/a,n/a,n/a,UNRESAFIB
tbc,2023-24,NCD,NCD,NCDMI112,Enhanced Health in Care Homes,NCD,0,FI,NCDMI112,Percentage of care home residents aged 18 years or over on the QOF Dementia Register.,Exclusion,PAT_AGEU18,PAT_AGEU18,n/a,n/a,n/a,PAT_AGEU18
tbc,2023-24,NCD,NCD,NCDMI113,Enhanced Health in Care Homes,NCD,0,FI,NCDMI113,Percentage of permanent care home residents aged 18 years or over with a preferred place of death recorded.,Exclusion,PAT_AGEU18,PAT_AGEU18,n/a,n/a,n/a,PAT_AGEU18
tbc,2023-24,NCD,NCD,NCDMI117,Structured Medication Reviews & Medicines Optimisation,NCD,0,FI,NCDMI117,"Percentage of patients aged 18 years or over with a history of peptic ulceration and prescribed an oral non-steroidal anti-inflammatory drug (NSAID), who were not prescribed a gastro-protective.",Numerator,Numerator,Numerator,n/a,n/a,n/a,n/a
tbc,2023-24,NCD,NCD,NCDMI118,Structured Medication Reviews & Medicines Optimisation,NCD,0,FI,NCDMI118,"Percentage of patients aged 18 years or over with a history of peptic ulceration and prescribed an anti-platelet, who were not prescribed a gastro-protective",Numerator,Numerator,Numerator,n/a,n/a,n/a,n/a
tbc,2023-24,NCD,NCD,NCDMI119,Structured Medication Reviews & Medicines Optimisation,NCD,0,FI,NCDMI119,"Percentage of patients aged 18 years or over prescribed an oral anticoagulant, who were prescribed an oral NSAID.",Denominator,Denominator,Denominator,n/a,n/a,n/a,n/a
tbc,2023-24,NCD,NCD,NCDMI121,Structured Medication Reviews & Medicines Optimisation,NCD,0,FI,NCDMI121,"Percentage of patients aged 18 years or over prescribed aspirin and another anti-platelet, who were not prescribed a gastro-protective.",Exclusion,ASPIRIN3M,ASPIRIN3M,n/a,n/a,n/a,ASPIRIN3M
tbc,2023-24,NCD,NCD,NCDMI123,Structured Medication Reviews & Medicines Optimisation,NCD,0,FI,NCDMI123,Percentage of patients aged 18 years or over with an eGFR less than 45 who were prescribed an oral non-steroidal anti-inflammatory drug (NSAID).,Numerator,Numerator,Numerator,n/a,n/a,n/a,n/a
tbc,2023-24,NCD,NCD,NCDMI124,Structured Medication Reviews & Medicines Optimisation,NCD,0,FI,NCDMI124,Percentage of patients aged 18 years or over with an unresolved asthma diagnosis who were prescribed a non-selective beta-blocker.,Numerator,Numerator,Numerator,n/a,n/a,n/a,n/a
tbc,2023-24,NCD,NCD,NCDMI124,Structured Medication Reviews & Medicines Optimisation,NCD,0,FI,NCDMI124,Percentage of patients aged 18 years or over with an unresolved asthma diagnosis who were prescribed a non-selective beta-blocker.,Exclusion,PAT_AGEU18,PAT_AGEU18,n/a,n/a,n/a,PAT_AGEU18
tbc,2023-24,NCD,NCD,NCDMI125,Anticipatory Care,NCD,0,FI,NCDMI125,Percentage of registered patients under the care of Anticipatory Care service,Denominator,Denominator,Denominator,n/a,n/a,n/a,n/a
tbc,2023-24,NCD,NCD,NCDMI126,Anticipatory Care,NCD,0,FI,NCDMI126,Percentage of registered patients who declined an offer of Anticipatory Care,Denominator,Denominator,Denominator,n/a,n/a,n/a,n/a
tbc,2023-24,NCD,NCD,NCDMI127,Anticipatory Care,NCD,0,FI,NCDMI127,Percentage of registered patients discharged from Anticipatory Care service,Numerator,Numerator,Numerator,n/a,n/a,n/a,n/a
tbc,2023-24,NCD,NCD,NCDMI129,Tackling Health Inequalities,NCD,0,FI,NCDMI129,Percentage of at-risk patients recorded as being from an ethnic minority and aged 18 to 64 years inclusive who received a seasonal influenza vaccination between 1 September and 31 March,Exclusion,N_AT_RISK,N_AT_RISK,n/a,n/a,n/a,N_AT_RISK
tbc,2023-24,NCD,NCD,NCDMI130,Tackling Health Inequalities,NCD,0,FI,NCDMI130,Percentage of patients aged 16 years or over who have received a second dose of a Covid 19 vaccination,PCA,C19DEC_DAT,C19DEC_DAT,n/a,n/a,n/a,C19DEC_DAT
tbc,2023-24,NCD,NCD,NCDMI131,Tackling Health Inequalities,NCD,0,FI,NCDMI131,Percentage of patients aged 16 years or over and recorded as being from an ethnic minority who have received a second dose of a Covid 19 vaccination,Exclusion,PAT_AGEU16,PAT_AGEU16,n/a,n/a,n/a,PAT_AGEU16
tbc,2023-24,NCD,NCD,NCDMI132,Tackling Health Inequalities,NCD,0,FI,NCDMI132,"Percentage of patients aged 18 years or over, recorded as being from an ethnic minority, not on the QOF Hypertension Register as of 31 March 2023, and who have (i) a last recorded blood pressure reading in the 3 years prior to 1 April 2023 >= 140/90 mmHg (with the exception of patients whose first blood pressure reading >= 140/90 mmHg in this period is on or after 1 October 2022) for whom there is evidence of clinically appropriate follow-up to confirm or exclude a diagnosis of hypertension by 31 March 2024 OR (ii) a blood pressure reading >= 140/90mmHg on or after 1 October 2022, for whom there is evidence of clinically appropriate follow-up to confirm or exclude a diagnosis of hypertension within 6 months of elevated reading.",PCA,PALCARDAT2,PALCARDAT2,n/a,n/a,n/a,PALCARDAT2
tbc,2023-24,NCD,NCD,NCDMI133,Tackling Health Inequalities,NCD,0,FI,NCDMI133,Percentage of patients aged 45 or over and recorded as being from an ethnic minority who have a record of blood pressure in the preceding 5 years,PCA,BPDEC1,BPDEC1,n/a,n/a,n/a,BPDEC1
tbc,2023-24,NCD,NCD,NCDMI133,Tackling Health Inequalities,NCD,0,FI,NCDMI133,Percentage of patients aged 45 or over and recorded as being from an ethnic minority who have a record of blood pressure in the preceding 5 years,Numerator,Numerator,Numerator,n/a,n/a,n/a,n/a
tbc,2023-24,NCD,NCD,NCDMI135,Tackling Health Inequalities,NCD,0,FI,NCDMI135,"Percentage of patients with schizophrenia, bipolar affective disorder and other psychoses and recorded as being from an ethnic minority who received all six elements of the Physical Health Check for people with Severe Mental Illness",Numerator,Numerator,Numerator,n/a,n/a,n/a,n/a
tbc,2023-24,NCD,NCD,NCDMI135,Tackling Health Inequalities,NCD,0,FI,NCDMI135,"Percentage of patients with schizophrenia, bipolar affective disorder and other psychoses and recorded as being from an ethnic minority who received all six elements of the Physical Health Check for people with Severe Mental Illness",Denominator,Denominator,Denominator,n/a,n/a,n/a,n/a
tbc,2023-24,NCD,NCD,NCDMI147,Workforce,NCD,0,FI,NCDMI147,Percentage of registered patients who had at least one encounter with a Podiatrist.,Numerator,Numerator,Numerator,n/a,n/a,n/a,n/a
tbc,2023-24,NCD,NCD,NCDMI149,Workforce,NCD,0,FI,NCDMI149,Percentage of registered patients who had at least one encounter with a Pharmacy Technician.,Denominator,Denominator,Denominator,n/a,n/a,n/a,n/a
tbc,2023-24,NCD,NCD,NCDMI153,Workforce,NCD,0,FI,NCDMI153,Percentage of registered patients who had at least one encounter with a Social Prescribing Link Worker.,Denominator,Denominator,Denominator,n/a,n/a,n/a,n/a
tbc,2023-24,NCD,NCD,NCDMI157,Workforce,NCD,0,FI,NCDMI157,Percentage of registered patients who had at least one encounter with a Care Coordinator.,Numerator,Numerator,Numerator,n/a,n/a,n/a,n/a
tbc,2023-24,NCD,NCD,NCDMI159,Workforce,NCD,0,FI,NCDMI159,Percentage of registered patients who had at least one encounter with a Trainee Nursing Associate.,Numerator,Numerator,Numerator,n/a,n/a,n/a,n/a
tbc,2023-24,NCD,NCD,NCDMI162,Workforce,NCD,0,FI,NCDMI162,"Number of encounters with a Paramedic, per registered patient.",Numerator,Numerator,Numerator,n/a,n/a,n/a,n/a
tbc,2023-24,NCD,NCD,NCDMI165,Workforce,NCD,0,FI,NCDMI165,Percentage of registered patients who had at least one encounter with a Mental Health Practitioner.,Denominator,Denominator,Denominator,n/a,n/a,n/a,n/a
tbc,2023-24,NCD,NCD,NCDMI166,Access,NCD,0,FI,NCDMI166,Number of declined referrals to the Community Pharmacy Consultation Service per registered patient,Numerator,Numerator,Numerator,n/a,n/a,n/a,n/a
tbc,2023-24,NCD,NCD,NCDMI170,Enhanced Health in Care Homes,NCD,0,FI,NCDMI170,Percentage of permanent care home residents aged 18 years or over who received a psychosocial assessment,Exclusion,LATNURSPER,LATNURSPER,n/a,n/a,n/a,LATNURSPER
tbc,2023-24,NCD,NCD,NCDMI172,Structured Medication Reviews & Medicines Optimisation,NCD,0,FI,NCDMI172,Percentage of patients aged 18 years or over prescribed methotrexate for at least 3 months without a full blood count in the previous 3 months.,Numerator,Numerator,Numerator,n/a,n/a,n/a,n/a
tbc,2023-24,NCD,NCD,NCDMI173,Structured Medication Reviews & Medicines Optimisation,NCD,0,FI,NCDMI173,Percentage of patients aged 18 years or over prescribed methotrexate for at least 3 months without a liver function test in the previous 3 months.,Exclusion,PAT_AGEU18,PAT_AGEU18,n/a,n/a,n/a,PAT_AGEU18
tbc,2023-24,NCD,NCD,NCDMI174,Structured Medication Reviews & Medicines Optimisation,NCD,0,FI,NCDMI174,Percentage of patients aged 18 years or over prescribed lithium for at least 3 months without a lithium concentration check in the previous 3 months.,Exclusion,NOLIT3M6M,NOLIT3M6M,n/a,n/a,n/a,NOLIT3M6M
tbc,2023-24,NCD,NCD,NCDMI174,Structured Medication Reviews & Medicines Optimisation,NCD,0,FI,NCDMI174,Percentage of patients aged 18 years or over prescribed lithium for at least 3 months without a lithium concentration check in the previous 3 months.,Exclusion,PAT_AGEU18,PAT_AGEU18,n/a,n/a,n/a,PAT_AGEU18
tbc,2023-24,NCD,NCD,NCDMI175,Structured Medication Reviews & Medicines Optimisation,NCD,0,FI,NCDMI175,Percentage of patients aged 18 years or over prescribed amiodarone for at least 6 months without a thyroid function test (TFT) in the previous 6 months.,Numerator,Numerator,Numerator,n/a,n/a,n/a,n/a
tbc,2023-24,NCD,NCD,NCDMI176,Cardiovascular Disease Prevention,NCD,0,FI,NCDMI176,"Percentage of patients aged 25 to 84 years inclusive without established cardiovascular disease and with a last recorded CVD risk score (QRISK2 or 3) greater than 20 percent, who are currently treated with statins.",Exclusion,QRISKVAL20,QRISKVAL20,n/a,n/a,n/a,QRISKVAL20
tbc,2023-24,NCD,NCD,NCDMI177,Respiratory Care,NCD,0,FI,NCDMI177,"Percentage of patients on the QOF Asthma Register who received three or more inhaled corticosteroid (ICS, inclusive of ICS/LABA) prescriptions over the previous 12 months.",Denominator,Denominator,Denominator,n/a,n/a,n/a,n/a
tbc,2023-24,NCD,NCD,NCDMI181,Structured Medication Reviews & Medicines Optimisation,NCD,0,FI,NCDMI181,Percentage of patients living with severe frailty who received a Structured Medication Review.,Exclusion,SEVFRAIL2,SEVFRAIL2,n/a,n/a,n/a,SEVFRAIL2
tbc,2023-24,NCD,NCD,NCDMI182,Tackling Health Inequalities,NCD,0,FI,NCDMI182,"Percentage of patients on the QOF Learning Disability register aged 14 years or over, who received an annual Learning Disability Health Check and a completed Health Action Plan.",PCA,HLTHAPDEC,HLTHAPDEC,n/a,n/a,n/a,HLTHAPDEC
tbc,2023-24,NCD,NCD,NCDMI182,Tackling Health Inequalities,NCD,0,FI,NCDMI182,"Percentage of patients on the QOF Learning Disability register aged 14 years or over, who received an annual Learning Disability Health Check and a completed Health Action Plan.",Denominator,Denominator,Denominator,n/a,n/a,n/a,n/a
tbc,2023-24,NCD,NCD,NCDMI198,Enhanced Health in Care Homes,NCD,0,FI,NCDMI198,Mean number of patient contacts as part of weekly care home round per care home resident aged 18 years and over.,Numerator,Numerator,Numerator,n/a,n/a,n/a,n/a
tbc,2023-24,NCD,NCD,NCDMI198,Enhanced Health in Care Homes,NCD,0,FI,NCDMI198,Mean number of patient contacts as part of weekly care home round per care home resident aged 18 years and over.,Exclusion,NURSHOME,NURSHOME,n/a,n/a,n/a,NURSHOME
tbc,2023-24,NCD,NCD,NCD001,Personalised Care,NCD,0,FI,NCD001,Percentage of registered patients referred to a social prescribing service.,Numerator,Numerator,Numerator,n/a,n/a,n/a,n/a
tbc,2023-24,NCD,NCD,NCD001,Personalised Care,NCD,0,FI,NCD001,Percentage of registered patients referred to a social prescribing service.,Denominator,Denominator,Denominator,n/a,n/a,n/a,n/a
tbc,2023-24,NCD,NCD,NCD003,Vaccination & Immunisation,NCD,0,FI,NCD003,Percentage of at-risk patients aged 18 to 64 years inclusive who received a seasonal influenza vaccination between 1 September and 31 March.,PCA,FLUINVITE1,FLUINVITE1,n/a,n/a,n/a,FLUINVITE1
tbc,2023-24,NCD,NCD,NCD003,Vaccination & Immunisation,NCD,0,FI,NCD003,Percentage of at-risk patients aged 18 to 64 years inclusive who received a seasonal influenza vaccination between 1 September and 31 March.,Exclusion,P_AGE18_64,P_AGE18_64,n/a,n/a,n/a,P_AGE18_64
tbc,2023-24,NCD,NCD,NCD004,Vaccination & Immunisation,NCD,0,FI,NCD004,Percentage of patients aged two or three years on 31 August of the relevant financial year who received a seasonal influenza vaccination between 1 September and 31 March.,Exclusion,P_AGE2_4,P_AGE2_4,n/a,n/a,n/a,P_AGE2_4
tbc,2023-24,NCD,NCD,NCD011,Cardiovascular Disease Prevention,NCD,0,FI,NCD011,"Percentage of patients aged 18 years or over, not on the QOF Hypertension Register as of 31 March 2023, and who have (i) a last recorded blood pressure reading in the 3 years prior to 1 April 2023 >= 140/90mmHg (with the exception of patients whose first blood pressure reading >= 140/90mmHg in this period is on or after 1 October 2022) for whom there is evidence of clinically appropriate follow-up to confirm or exclude a diagnosis of hypertension by 31 March 2024 OR (ii) a blood pressure reading >= 140/90mmHg on or after 1 October 2022, for whom there is evidence of clinically appropriate follow-up to confirm or exclude a diagnosis of hypertension within 6 months of elevated reading.",PCA,BPLAT6M,BPLAT6M,n/a,n/a,n/a,BPLAT6M
tbc,2023-24,NCD,NCD,NCD018,Enhanced Health in Care Homes,NCD,0,FI,NCD018,"Percentage of care home residents aged 18 years or over, who had a Personalised Care and Support Plan agreed or reviewed.",Denominator,Denominator,Denominator,n/a,n/a,n/a,n/a
tbc,2023-24,NCD,NCD,NCD018,Enhanced Health in Care Homes,NCD,0,FI,NCD018,"Percentage of care home residents aged 18 years or over, who had a Personalised Care and Support Plan agreed or reviewed.",Numerator,Numerator,Numerator,n/a,n/a,n/a,n/a
tbc,2023-24,NCD,NCD,NCD107,Structured Medication Reviews & Medicines Optimisation,NCD,0,FI,NCD107,"Percentage of patients aged 18 years or over prescribed both a Non-Steroidal Anti-Inflammatory Drug (NSAID) and an oral anticoagulant in the last 3 months of the previous financial year, who, in the three months to the end of the reporting period, were either (i) no longer prescribed an NSAID or (ii) prescribed a gastro-protective in addition to an NSAID.",Numerator,Numerator,Numerator,n/a,n/a,n/a,n/a
tbc,2023-24,NCD,NCD,NCD109,Structured Medication Reviews & Medicines Optimisation,NCD,0,FI,NCD109,"Percentage of patients aged 18 years or over prescribed both an oral anticoagulant and an anti-platelet in the last 3 months of the previous financial year, who, in the three months to the end of the reporting period, were either (i) no longer prescribed an anti-platelet or (ii) prescribed a gastro-protective in addition to an anti-platelet.",Denominator,Denominator,Denominator,n/a,n/a,n/a,n/a
tbc,2023-24,NCD,NCD,NCD112,Cancer,NCD,0,FI,NCD112,"Percentage of lower gastrointestinal two week wait (fast track) cancer referrals accompanied by a faecal immunochemical test result, with the result recorded either in the twenty-one days leading up to the referral, or in the fourteen days after the referral.",PCA,FAECIMMDEC,FAECIMMDEC,n/a,n/a,n/a,FAECIMMDEC
tbc,2023-24,NCD,NCD,NCD112,Cancer,NCD,0,FI,NCD112,"Percentage of lower gastrointestinal two week wait (fast track) cancer referrals accompanied by a faecal immunochemical test result, with the result recorded either in the twenty-one days leading up to the referral, or in the fourteen days after the referral.",Numerator,Numerator,Numerator,n/a,n/a,n/a,n/a
tbc,2023-24,NCD,NCD,NCD117,Cardiovascular Disease Prevention,NCD,0,FI,NCD117,"Percentage of men aged 50 years or over and women aged 55 years or over, without established Cardiovascular Disease and not on lipid lowering therapy, who have a QRISK score recorded on their GP record in the preceding five years and who have a recording of cholesterol levels, blood pressure and smoking status in the 12 months preceding recording of the most recent QRISK score",Exclusion,CVDDIAG,CVDDIAG,n/a,n/a,n/a,CVDDIAG
tbc,2023-24,NCD,NCD,NCD121,Cardiovascular Disease Prevention,NCD,0,FI,NCD121,"Percentage of patients aged 25 to 84 years inclusive without established cardiovascular disease or diabetes and with a last recorded CVD risk score (QRISK2 or 3) greater than 20 percent, who are currently treated with statins, or where a statin is declined or clinically unsuitable, another lipid-lowering therapy.",PCA,PALCARDAT2,PALCARDAT2,n/a,n/a,n/a,PALCARDAT2
tbc,2023-24,NCD,NCD,NCD121,Cardiovascular Disease Prevention,NCD,0,FI,NCD121,"Percentage of patients aged 25 to 84 years inclusive without established cardiovascular disease or diabetes and with a last recorded CVD risk score (QRISK2 or 3) greater than 20 percent, who are currently treated with statins, or where a statin is declined or clinically unsuitable, another lipid-lowering therapy.",Exclusion,QRISKVAL20,QRISKVAL20,n/a,n/a,n/a,QRISKVAL20
tbc,2023-24,NCD,NCD,NCDMI001,Personalised Care,NCD,0,FI,NCDMI001,Percentage of registered patients who had a Personalised Care and Support Plan agreed.,Numerator,Numerator,Numerator,n/a,n/a,n/a,n/a
tbc,2023-24,NCD,NCD,NCDMI001,Personalised Care,NCD,0,FI,NCDMI001,Percentage of registered patients who had a Personalised Care and Support Plan agreed.,Denominator,Denominator,Denominator,n/a,n/a,n/a,n/a
tbc,2023-24,NCD,NCD,NCDMI025,Vaccination & Immunisation,NCD,0,FI,NCDMI025,Percentage of patients in long stay residential or homes who received a seasonal influenza vaccination between 1 September and 31 March.,PCA,FLUDEC_DAT,FLUDEC_DAT,n/a,n/a,n/a,FLUDEC_DAT
tbc,2023-24,NCD,NCD,NCDMI025,Vaccination & Immunisation,NCD,0,FI,NCDMI025,Percentage of patients in long stay residential or homes who received a seasonal influenza vaccination between 1 September and 31 March.,Denominator,Denominator,Denominator,n/a,n/a,n/a,n/a
tbc,2023-24,NCD,NCD,NCDMI026,Vaccination & Immunisation,NCD,0,FI,NCDMI026,Percentage of patients on the Learning Disability register aged 18 years or over who received a seasonal influenza vaccination between 1 September and 31 March.,PCA,FLUINVITE1,FLUINVITE1,n/a,n/a,n/a,FLUINVITE1
tbc,2023-24,NCD,NCD,NCDMI027,Vaccination & Immunisation,NCD,0,FI,NCDMI027,"Percentage of patients on the QOF Mental Health register for schizophrenia, bipolar affective disorder and other psychoses and either aged 65 years or over, or aged between 18 and 64 years inclusive and in a clinical at-risk group, who received a seasonal influenza vaccination between 1 September and 31 March.",PCA,FLUDEC_DAT,FLUDEC_DAT,n/a,n/a,n/a,FLUDEC_DAT
tbc,2023-24,NCD,NCD,NCDMI027,Vaccination & Immunisation,NCD,0,FI,NCDMI027,"Percentage of patients on the QOF Mental Health register for schizophrenia, bipolar affective disorder and other psychoses and either aged 65 years or over, or aged between 18 and 64 years inclusive and in a clinical at-risk group, who received a seasonal influenza vaccination between 1 September and 31 March.",PCA,FLUEXPCON,FLUEXPCON,n/a,n/a,n/a,FLUEXPCON
tbc,2023-24,NCD,NCD,NCDMI061,Cardiovascular Disease Prevention,NCD,0,FI,NCDMI061,"Percentage of patients aged 25 to 84 years inclusive and with a last recorded CVD risk score (QRISK2 or 3) greater than or equal to 10 percent, who are currently treated with statins.",Denominator,Denominator,Denominator,n/a,n/a,n/a,n/a
tbc,2023-24,NCD,NCD,NCDMI061,Cardiovascular Disease Prevention,NCD,0,FI,NCDMI061,"Percentage of patients aged 25 to 84 years inclusive and with a last recorded CVD risk score (QRISK2 or 3) greater than or equal to 10 percent, who are currently treated with statins.",Numerator,Numerator,Numerator,n/a,n/a,n/a,n/a
tbc,2023-24,NCD,NCD,NCDMI089,Environmental Sustainability,NCD,0,FI,NCDMI089,Percentage of salbutamol inhaler prescriptions that are lower carbon.,Numerator,Numerator,Numerator,n/a,n/a,n/a,n/a
tbc,2023-24,NCD,NCD,NCDMI102,Cardiovascular Disease Prevention,NCD,0,FI,NCDMI102,"Percentage of patients aged 18 years or over with an observation indicating suspected atrial fibrillation recorded during the financial year (including presentations of breathlessness, palpitations, syncope or dizziness, or chest discomfort) who received a pulse check.",Exclusion,PAT_AGEU18,PAT_AGEU18,n/a,n/a,n/a,PAT_AGEU18
tbc,2023-24,NCD,NCD,NCDMI113,Enhanced Health in Care Homes,NCD,0,FI,NCDMI113,Percentage of permanent care home residents aged 18 years or over with a preferred place of death recorded.,Exclusion,LATNURSPER,LATNURSPER,n/a,n/a,n/a,LATNURSPER
tbc,2023-24,NCD,NCD,NCDMI113,Enhanced Health in Care Homes,NCD,0,FI,NCDMI113,Percentage of permanent care home residents aged 18 years or over with a preferred place of death recorded.,Numerator,Numerator,Numerator,n/a,n/a,n/a,n/a
tbc,2023-24,NCD,NCD,NCDMI114,Enhanced Health in Care Homes,NCD,0,FI,NCDMI114,Mean number of Multidisciplinary Team meetings per care home resident aged 18 years or over.,Numerator,Numerator,Numerator,n/a,n/a,n/a,n/a
tbc,2023-24,NCD,NCD,NCDMI116,Structured Medication Reviews & Medicines Optimisation,NCD,0,FI,NCDMI116,"Percentage of patients aged 65 years or over prescribed an oral non-steroidal anti-inflammatory drug (NSAID), who were not prescribed a gastro-protective",Exclusion,NONSAID3M,NONSAID3M,n/a,n/a,n/a,NONSAID3M
